palavra,polaridade,tipo
agressivo,-1.4,
agressoes,-0.5,
agredir,-0.6,
agressivamente,-1.3,
agressividade,-1.8,
agressividade,-1.4,
agressor,-0.8,
agressor,-0.9,
horrorizar,-1.9,
agitar,-1.7,
agitar,-2.0,
com agitacao,-1.6,TERM
agitar,-1.4,
agitar,-1.8,
agitacao,-1.0,
agitacoes,-1.3,
agitativo,-1.3,
agitador,-0.1,
agitador,-2.1,
agog,1.9,
agonizar,-2.1,
agonizante,-2.3,
agonizar,-2.4,
agonizantemente,-2.3,
agonia,-1.8,
conveniencia,1.9,
agradavel,1.8,
conveniencia,1.3,
agradavelmente,1.6,
acordar,1.1,
concordar,1.4,
acordo,2.2,
acordo,1.1,
concordar,0.8,
alarme,-1.4,
alarmar,-1.4,
alarmante,-0.5,
alarmantemente,-2.6,
alarmismo,-0.3,
alarmista,-1.1,
alarme,-1.1,
infelizmente,-1.1,
alertar,1.2,
alienacao,-1.1,
vivar,1.6,
alergico,-1.2,
permitir,0.9,
sozinho,-1.0,
bem,1.0,
surpreender,2.5,
espantar,2.2,
surpreendentemente,2.1,INCR
espanto,2.5,
espantar,2.2,
surpreendente,2.8,
amazonio,0.7,
amazonite,0.2,
amazona,-0.1,
pedra amazonico,1.0,TERM
pedra amazonico,0.2,TERM
ambicioso,2.1,
ambivalente,0.5,
amor,3.0,
amoral,-1.6,
amoralismo,-0.7,
amoralismos,-0.7,
amoralidade,-1.2,
amoralidade,-1.5,
amoralmente,-1.0,
amoretti,0.2,
amorteto,0.6,
amoretto,0.3,
amorino,1.2,
amorista,1.6,
amoristico,1.0,
amorista,0.1,
amoroso,2.3,
amorosamente,2.3,
amoroso,2.0,
amorfo,-0.2,
sem forma,0.1,TERM
amortizar,-2.1,
amortizar,0.5,
amortizar,0.1,
amortizavel,0.5,
amortizacao,0.6,
amortizacoes,0.2,
amortizar,0.8,
divertivel,0.7,
divertir,1.7,
divertido,1.8,
divertidamente,2.2,
diversao,1.5,
divertimento,1.5,
divertidor,1.1,
divertidor,1.3,
divertir,1.7,
Amusia,0.3,
amusia,-0.4,
divertido,1.7,
raiva,-2.7,
irritar,-2.2,
angustiar,-2.3,
muito irritado,-2.3,TERM
mais angustiado,-3.1,TERM
com raiva,-1.8,TERM
antifriccao,-1.7,
bravo,-2.3,
angustiado,-1.8,
angustia,-2.1,
antipatia,-1.9,
incomodar,-1.9,
aborrecimento,-1.3,
aborrecimento,-1.8,
enjoar,-2.2,
irritante,-1.5,
irritante,-1.7,
irritar,-1.8,
antagonismo,-1.9,
antagonismo,-1.2,
antagonista,-1.9,
antagonico,-1.7,
de forma antagonico,-2.2,TERM
antagonista,-1.7,
antagonizar,-2.0,
antagonizar,-1.4,
antagonizar,-0.5,
antagonizar,-2.7,
antir,-1.3,
antecipacao,0.4,
ansiedade,-0.6,
ansiedade,-0.7,
ansioso,-1.0,
ansiosamente,-0.9,
tudo bem,2.0,TERM
apatico,-1.2,
de forma apatico,-0.4,TERM
apatio,-0.6,
apatia,-1.2,
descontrolar,-0.9,
apocaliptico,-3.4,
pedir desculpa,1.6,TERM
pedir desculpa,0.4,TERM
pedir desculpa,0.8,TERM
pedir desculpa,0.2,TERM
desculpa,0.2,
valer o pena,-2.4,TERM
chocar,-2.0,
terrivel,-1.5,
terrivelmente,-2.0,INCR
questionar,-1.9,
apaziguar,1.1,
apaziguar,0.9,
apaziguamento,1.0,
aplaudir,2.0,
aplaudir,1.5,
aplaudir,2.1,
aplaude,1.4,
aplauso,1.8,
apreciar,1.7,
estimar,2.3,
apreciar,2.3,
apreciar,1.9,
apreciacao,2.3,
apreciacoes,1.7,
apreciativo,2.6,
apreciativamente,1.8,
apreciador,2.6,
apreciador,1.5,
apreensivel,1.1,
Apreensivamente,-0.2,
apreensaor,-2.1,
apreensoes,-0.9,
aprovacao,2.1,
aprovar,1.8,
aprovar,1.7,
ardente,2.1,
discutivel,-1.0,
indiscutivelmente,-1.0,
argumentar,-1.4,
argumentar,-1.5,
argumentador,-1.6,
argumentador,-1.4,
argumentar,-1.6,
argumentar,-2.0,
argumento,-1.5,
argumentativo,-1.5,
argumentativamente,-1.8,
argumentive,-1.5,
argumento,-1.7,
prender,-1.4,
prender,-2.1,
prisoes,-1.9,
arrogancia,-2.4,
Arrogancias,-1.9,
arrogante,-2.2,
arrogantemente,-1.8,
envergonhar,-2.1,
com vergonha,-1.7,TERM
bunda,-2.5,
assassinato,-2.9,
assassinato,-2.7,
assalto,-2.8,
assaltar,-2.4,
assaltavel,-2.8,
assalto,-2.5,
de ativo,1.5,TERM
vacilao,-2.5,
babaca,-2.8,
garantia,1.4,
garantia,1.4,
assegurar,1.4,
garantir,1.5,
com certeza,1.6,TERM
seguranca,1.4,
segurador,0.9,
assessor,1.1,
assegurar,1.3,
assassino,1.3,
assegurar,1.6,
atonito,1.6,
surpreender,1.8,
surpreendente,2.1,
anexo,1.2,
anexo,1.1,
ataque,-2.1,
atacar,-2.0,
atacante,-2.7,
atacante,-2.7,
ataque,-1.9,
atrair,1.5,
atracao,0.9,
atraente,1.3,
atraente,1.4,
atraer,1.8,
atrair,2.1,
atracoe,1.8,
atrativamente,2.2,
atratividade,1.8,
atrativo,2.1,
atrator,1.2,
atrapalhador,1.2,
audacioso,0.9,
autoridade,0.3,
aversao,-1.9,
aversoes,-1.1,
aversivo,-1.6,
aversivamente,-0.8,
evitar,-0.7,
evitar,-0.3,
evitar,-0.4,
aver,1.2,
evasaor,-1.7,
evasoes,-1.1,
evitar,-1.4,
evasor,-1.8,
evasor,-1.4,
evitar,-1.4,
aguardar,0.4,
esperar,-0.1,
aguardar,0.3,
premio,2.5,
atribuivel,2.4,
premiar,1.7,
premiar,1.2,
atribuir,1.9,
premio,2.0,
impressionante,3.1,
horrivel,-2.0,
embaracoso,-0.6,
estranhamente,-1.3,
constrangimento,-0.7,
machado,-0.4,
exagerar,-1.3,
apoiar,0.1,
apoio,0.1,
costa,-0.2,
mau,-2.5,
fodao,-0.6,
seriamente,-2.1,
resgate,-0.4,
enganar,-1.5,
Bamboozled,-1.5,
bamboozle,-1.5,
banimento,-2.6,
banir,-1.9,
falir,-2.6,
Banco,-2.1,
banir,-2.0,
barganho,0.8,
barreira,-0.5,
timer,-0.1,
tontura,-0.8,
desgracar,-2.5,
bastardo,-1.8,
bastardisse,-2.1,
bastardizar,-2.3,
bastardises,-2.3,
bastardising,-2.6,
Bastardizacao,-2.4,
bastardizacoes,-2.1,
degradar,-2.4,
bastardiz,-1.8,
bastardizar,-2.3,
bastardly,-2.7,
bastardy,-2.7,
batalha,-1.6,
lutar,-1.2,
campo de batalha,-1.6,TERM
campo de batalha,-0.9,TERM
frente de batalha,-1.2,TERM
frente de batalha,-0.8,TERM
ameia,-0.4,
batalhador,-0.8,
lutador,-0.2,
batalha,-1.6,
navio de guerra,-0.1,TERM
navio de guerra,-0.5,TERM
caminho de guerra,-0.3,TERM
vagoes de batalha,-0.5,TERM
lutar,-1.1,
espancar,-1.8,
beatifico,1.8,
espancamento,-2.0,
belo,1.6,
belo,2.5,
belamente,2.6,
beleza,2.7,
esteticista,1.2,
esteticista,0.4,
beleza,2.4,
embelezamento,1.9,
embelezamento,2.4,
embelezar,2.1,
embelezador,1.7,
embelezador,1.7,
embelezar,1.8,
bonito,2.9,
mais lindo,2.1,TERM
mais bonito,2.6,TERM
belo,2.7,
embelezar,2.3,
embelezar,2.3,
menosprezo,-1.9,
menosprezar,-2.0,
amar,2.3,
benefico,1.4,
beneficio eclesiastico,0.4,TERM
beneficiar,1.1,
Beneficencia,2.8,
beneficencia,1.5,
beneficente,2.3,
beneficamente,2.2,
beneficio,1.1,
beneficiario,1.8,
beneficiario,2.1,
beneficiamento,0.4,
beneficiar,2.0,
beneficiar,1.7,
beneficiar,1.9,
benevolencio,1.7,
benevolencia,1.9,
benevolente,2.7,
Benevolentemente,1.4,
benigno,1.3,
benignidade,0.6,
benignamente,1.1,
benignidade,0.9,
despojar,-2.1,
enlutar,-2.1,
despojar,-1.9,
despojadamente,-1.3,
bom,3.2,
trair,-3.2,
traicao,-2.8,
trair,-3.0,
trair,-2.5,
traicoeiro,-2.5,
vies,-0.4,
tendencioso,-1.1,
cadelo,-2.8,
morrer,-2.6,
briga,-2.3,
baixar,-2.7,
cadela,-2.9,
mais bravo,-2.0,TERM
mais brar,-3.0,TERM
babacamente,-2.6,
Bitchiness,-2.6,
Bitching,-1.1,
maluco,-2.3,
amargo,-1.8,
bitterbrush,-0.2,
bitterbrushes,-0.6,
amargurar,-1.8,
mais amargo,-1.9,TERM
amargar,-1.2,
amargamente,-2.0,
amargura,-1.7,
bitterns,-0.4,
amargo,-0.4,
agridoce,-0.3,
bittersweets,-0.2,
amendoim,-0.5,
bizarro,-1.3,
bla,-0.4,
blam,-0.2,
culpar,-1.8,
acusavel,-1.8,
culpa,-1.4,
sem culpa,0.7,TERM
irrepreensivel,0.9,
acusador,-2.1,
acusador,-2.0,
culpar,-2.2,
abencoe,1.8,
abencoar,2.9,
abencoadamente,1.7,
Bem-aventuranca,1.6,
bencao,2.6,
bencao,1.9,
Abencoa,2.6,
cego,-1.7,
felicidade,2.7,
feliz,2.9,
alegre,1.2,
quadra,-1.9,
Blockbuster,2.9,
bloquear,-1.1,
bloquear,-1.6,
bloco,-0.9,
sangrento,-1.9,
embacado,-0.4,
ousar,1.6,
muito ousado,1.2,TERM
mais ousado,1.6,TERM
audaz,0.3,
destemido,-0.1,
valente,0.1,
ousadamente,0.1,
corajosamente,1.5,
ousadia,1.5,
coragem,0.9,
ousadia,1.3,
bomba,-2.2,
bonus,2.5,
Gratificacoes,2.6,
impulso,1.7,
impulsionar,1.5,
aumentar,1.4,
impulsionar,1.3,
chato,-1.0,
Boreal,-0.3,
repolho,-0.2,
repolho,-0.3,
entediar,-1.1,
tedio,-1.3,
tedio,-1.1,
muito entediado,0.1,TERM
muito entediado,0.2,TERM
furo,-0.2,
broca,-0.4,
perfurador,-1.2,
borescopes,-0.1,
amolamento,-1.3,
incomodar,-1.3,
incomodar,-1.6,
incomodar,-0.8,
incomodo,-1.3,
boicote,-1.3,
boicotar,-1.7,
boicotar,-1.7,
boicote,-1.4,
lavagem cerebral,-1.5,TERM
bravamente,2.3,
mais forte,2.4,TERM
braverie,2.0,
Bravura,2.2,
brave,1.9,
mais valente,2.3,TERM
tirar o folego,2.0,TERM
suborno,-0.8,
brilhante,1.9,
iluminar,1.9,
branqueador,1.0,
abrilhantador,1.0,
brilhar,2.5,
iluminar,1.5,
mais brilhante,1.6,TERM
brilhantemente,1.5,
brilho,1.6,
brights,0.4,
brilho,2.9,
brilhante,2.3,
brilhantino,0.8,
rapido,0.6,
quebrar,-1.8,
partido,-2.1,
ninhado,0.1,
brutal,-3.1,
brutalizar,-2.7,
brutalizar,-2.9,
brutalizar,-3.2,
brutalizar,-2.8,
brutalidade,-2.6,
brutalidade,-3.0,
brutalizacao,-2.1,
brutalizacoe,-2.3,
brutalmente,-3.0,
intimidar,-3.1,
besteira,-2.8,
valentao,-2.2,
assedio moral,-2.9,TERM
vadio,-1.6,
flutuante,0.9,
peso,-1.9,
sobrecarregar,-1.7,
encarregar,-1.3,
engenheiro,-1.7,
sobrecarregar,-1.4,
encargo,-1.5,
pesar,-1.8,
Bwahaha,0.4,
bwahahah,2.5,
calmo,1.3,
calmante,1.1,
calmante,0.5,
acalmar,1.6,
mais calmo,1.5,TERM
acalmar,1.7,
calmamente,1.3,
calmodulino,0.2,
nao suporto,-2.0,TERM
cancelar,-1.0,
cancelar,-1.0,
cancelar,-0.8,
cancela,-0.9,
cancer,-3.4,
capaz,1.6,
cativar,1.6,
cuidado,2.2,
cuidar,1.8,
despreocupar,1.7,
cuidadosamente,0.5,
descuidar,-1.5,
descuidadamente,-1.0,
descuido,-1.4,
se preocupar,2.0,TERM
cuidar,2.2,
casual,0.8,
casualmente,0.7,
catastrofe,-3.4,
catastrofico,-2.2,
cauteloso,-0.4,
comemorer,2.7,
celebre,2.7,
comemorar,2.7,
a comemorar,2.7,TERM
censurar,-2.0,
censurar,-0.6,
censor,-1.2,
certo,1.1,
certissimo,1.1,
certamente,1.4,
certeza,0.9,
certeza,1.0,
desgosto,-1.9,
desafio,0.3,
desafiar,-0.4,
desafiador,0.5,
desafiador,0.4,
desafio,0.3,
desafiadoramente,-0.6,
Campeao,2.1,
champac,-0.2,
champanhe,1.2,
champanhes,0.5,
champaign,0.2,
champanhas,0.5,
sem paciencia,1.0,TERM
impaciente,-0.1,
campeoe,0.5,
canhoto,-0.1,
cheiroso,0.3,
champerty,-0.2,
cogumelo,0.4,
cogumelo,0.2,
champing,0.7,
defender,1.2,
defender,1.8,
Campeonato,1.9,
campeonato,2.2,
chance,1.0,
chance,0.8,
caos,-2.7,
caotico,-2.2,
carregar,-0.8,
cobranco,-1.1,
caridoso,1.7,
caridade,1.9,
caridade,1.6,
instituicoes de caridade,2.2,TERM
charme,1.7,
encantar,2.0,
encantador,1.9,
encantador,2.1,
charmoso,0.3,
charmoso,0.4,
mais charmoso,1.5,TERM
encantadoro,2.2,
sem charme,-1.8,TERM
encanto,1.9,
castigar,-2.5,
castigar,-2.2,
castigo,-1.7,
enganacao,-2.0,
enganar,-2.3,
trapaceiro,-2.5,
traidor,-1.9,
truque,-1.8,
torcer,2.3,
Comemorador,1.7,
comemorador,1.8,
cheio de alegria,1.9,TERM
mais alegre,3.2,TERM
alegremente,2.1,
alegria,2.1,
torcer,2.3,
brinde,1.2,
lider de torcida,1.7,TERM
lider de torcida,1.2,TERM
Cheerleading,1.2,
cheerlead,1.2,
triste,-1.7,
sem graca,-0.8,TERM
magoar,-1.7,
felicidade,2.1,
querer,2.0,
apreciar,2.3,
estimador,2.2,
estimador,1.9,
chique,1.1,
infantil,-1.2,
descontraido,-0.1,
sufocar,-2.5,
sufocar,-2.1,
asfixiar,-2.0,
sufocar,-2.0,
gargalhado,1.7,
rir,1.2,
chucklehead,-1.9,
chuckleheaded,-1.3,
chuckleheads,-1.1,
chuckler,0.8,
chuckler,1.2,
rir,1.1,
Chucklesome,1.1,
sorrir,1.2,
esclarecer,0.9,
clareza,1.7,
elegante,1.9,
limpo,1.7,
limpador,0.7,
claro,1.6,
claramente,1.7,
limpa,0.3,
esperto,2.0,
mais inteligente,2.0,TERM
inteligente,1.0,
inteligentemente,2.3,
inteligencia,2.3,
inteligente,1.4,
nublar,-0.2,
sem nocao,-1.5,TERM
galo,-0.6,
cocksucker,-3.1,
Cocksuckers,-2.6,
pretensioso,-0.5,
coager,-1.5,
colapso,-2.2,
desabar,-1.1,
colapsar,-1.2,
colapsar,-1.2,
colidir,-0.3,
colidir,-1.1,
colidir,-0.5,
colisao,-1.5,
colisoes,-1.1,
conluio,-1.2,
combate,-1.4,
combate,-0.8,
comediante,1.6,
comediante,1.2,
comedic,1.7,
comedicamente,2.1,
comedienne,1.6,
comedia,1.7,
vir fazer,0.3,TERM
comedoes,-0.8,
desca,-0.8,
comedown,-0.9,
comediar,1.5,
conforto,1.5,
confortavel,2.3,
comfortableness,1.3,
confortavelmente,1.8,
consolar,1.8,
edredador,1.9,
edredons,1.2,
reconfortante,1.7,
com conforto,1.7,TERM
sem conforto,-1.8,TERM
recomendar,1.9,
elogiar,1.9,
cometer,1.2,
comprometimento,1.6,
compromisso,0.5,
comprometer se,0.1,
comprometer,1.1,
cometer,0.3,
compaixaor,2.0,
compassivo,2.2,
com compaixao,1.7,TERM
compaixoes,1.6,
sem compaixao,-2.6,TERM
obrigar,0.2,
competente,1.3,
competitivo,0.7,
complacente,-0.3,
reclamar,-1.5,
queixoso,-0.7,
reclamante,-1.1,
queixar se,-1.7,
queixa,-1.8,
queixoso,-1.3,
reclamar,-0.8,
queixando se,-1.7,
reclamar,-1.6,
reclamacoes,-1.7,
elogio,2.1,
complementarmente,1.7,
cortesia,1.9,
elogiar,2.3,
elogio,1.7,
compreensivo,1.0,
conciliar,1.0,
conciliar,1.1,
conciliador,1.1,
conciliar,1.3,
condenar,-1.6,
condenacao,-2.8,
condenar,-1.9,
condenar,-2.3,
confianca,2.3,
confiante,2.2,
com confianca,2.1,TERM
conflito,-1.3,
conflitante,-1.7,
conflituoso,-1.8,
conflito,-1.6,
enfrentar,-0.7,
confronto,-1.3,
Confrontativo,-1.0,
confrontacionista,-1.2,
confronto,-1.5,
confrontar,-0.8,
enfrentar,-0.6,
confrontar se,-0.9,
confundir,-0.9,
confuso,-1.3,
confusamente,-0.6,
confunder,-1.3,
confusao,-1.2,
confusional,-1.2,
Confusoes,-0.9,
parabem,2.4,
felicitar,2.2,
consentimento,0.9,
consentir,1.0,
atencioso,1.9,
consolavel,1.1,
conspiracao,-2.4,
constranger,-0.4,
contagio,-2.0,
contagio,-1.5,
contagioso,-1.4,
desprezo,-2.8,
destemir,-2.0,
despreocupacao,-0.9,
desprezivel,-1.6,
despreocupadamente,-1.4,
desdenhoso,-2.2,
desdenhosamente,-2.4,
contender,0.2,
Contendor,0.5,
contente,1.4,
satisfeito,1.9,
contencioso,-1.2,
contentamento,1.5,
contestavel,0.6,
contraditorio,-1.3,
contradizer,-1.3,
contradizer,-1.3,
contradicao,-1.0,
contradicoes,-1.3,
contraditorio,-0.5,
contradizr,-1.4,
controverso,-0.8,
controversamente,-1.1,
convencer,1.0,
convencer,1.7,
convincente,0.6,
Convincers,0.3,
convencer,0.7,
de forma convincente,1.6,TERM
convincencia,0.7,
convivial,1.2,
legal,1.3,
encurralar,-1.1,
cadaver,-2.7,
dispendioso,-0.4,
corajoso,2.4,
corte,2.3,
cobrir,-1.2,
covarde,-2.0,
covardemente,-1.6,
caibra,-0.8,
porcar,-1.6,
ruim,-2.6,
bater,-1.7,
maniar,-0.6,
louco,-0.5,
mais louco,-0.1,TERM
loucamente,-1.5,
loucura,-1.6,
ferver,-0.5,
maluco,0.8,
crio,1.1,
criar,1.0,
criar,1.1,
Creatin,0.1,
creatina,0.2,
criar,1.2,
creatinina,0.4,
criacao,1.1,
criacionismo,0.7,
criacionista,0.8,
criacionista,0.5,
criacoes,1.6,
criativo,1.9,
criativamente,1.5,
criatividade,1.8,
creditar,1.6,
credencial,1.4,
credibilidade,1.9,
credivel,1.8,
com credibilidade,1.7,TERM
creditar,1.5,
creditar,0.6,
credor,-0.1,
credito,1.5,
solvente,2.4,
cair,-2.5,
chorar,-1.6,
chorar,-1.7,
crime,-2.5,
criminoso,-2.4,
psicopata,-2.4,
genocido,-2.4,
criminoso,-2.7,
crise,-3.1,
critico,-1.1,
criticar,-1.9,
criticar,-1.8,
criticar,-1.3,
criticar,-1.7,
critica,-0.9,
criticavel,-1.0,
criticante,-1.6,
critico,-1.2,
Bruto,-2.7,
grosseiramente,-1.2,
crueza,-2.0,
crudeza,-2.0,
mais grosseiro,-2.0,TERM
em bruto,-1.1,TERM
mais grosso,-2.4,TERM
cruel,-2.8,
mais cruel,-2.3,TERM
cruelmente,-2.8,
crueldade,-2.9,
crueldade,-2.3,
o paixao subito,-0.6,TERM
esmagar,-1.8,
esmagar,-1.9,
esmagamento,-1.5,
chorar,-2.1,
chorar,-2.1,
boceta,-2.2,
cunt,-2.9,
curioso,1.3,
maldicao,-2.5,
cortar,-1.1,
fofo,2.0,
lindamente,1.3,
cuteness,2.3,
cutenesses,1.9,
cute,1.8,
Cutesie,1.0,
cutasier,1.5,
mais bonito,2.8,TERM
cutesy,2.1,
Cutey,2.1,
lindo,1.5,
cutiepie,2.0,
cutie,2.2,
corte,-0.5,
Cinico,-1.4,
cinicamente,-1.3,
cinismo,-1.7,
cinico,-0.3,
d- :,1.6,
d :,1.2,
d =,1.5,TERM
danificar,-2.2,
estragar,-1.9,
damier,-1.9,
damager,-2.0,
dano,-1.9,
prejudicial,-2.3,
prejudicialmente,-2.0,
droga,-1.7,
condenavel,-1.7,
malditamente,-1.7,
damnations,-1.4,
mais dificil,-0.5,TERM
damnifie,-1.8,
damnify,-2.2,
condenar,-2.4,
condenadamente,-2.0,
maldito,-2.2,
perigo,-2.4,
perigoso,-2.4,
ameacar,-2.5,
perigosamente,-2.0,
perigosidade,-2.0,
perigo,-2.2,
temerario,0.5,
ousado,1.5,
atretamente,2.1,
atrevimento,0.4,
mais escuro,-2.2,TERM
treva,-1.0,
querer,2.8,
queridamente,1.6,
carinho,2.3,
querido,2.2,
intreper,2.3,
deslumbrante,-0.7,
atordoar,-0.7,
aturdido,-0.4,
aturdimento,-0.5,
daze,-0.3,
matar,-3.3,
impasse,-1.4,
ensurdecedor,-1.2,
caro,1.6,
mais caro,1.9,TERM
de eario,1.0,
muito caro,1.8,TERM
escassez,-2.3,
deary,1.9,
morte,-2.9,
debonairr,0.8,
dividar,-1.5,
decair,-1.7,
decaer,-1.6,
decadente,-1.6,
decadente,-1.6,
decaca,-1.7,
engano,-2.0,
enganoso,-1.9,
enganar,-1.9,
enganar,-1.6,
enganar,-1.4,
decepcao,-1.9,
decisivo,0.9,
dedicar,2.0,
derrota,-2.0,
derrotar,-2.1,
derrotista,-1.4,
derrotista,-0.9,
derrotar,-1.6,
derrotismo,-1.3,
derrota,-1.3,
defeito,-1.4,
desfechando,-1.8,
desercao,-1.4,
Defeccoes,-1.5,
defeituoso,-1.9,
de forma defeituoso,-2.1,TERM
defeito,-1.8,
desertor,-1.9,
desertor,-1.3,
defesa,0.4,
defensista,0.4,
defensor,0.6,
defesa,-0.2,
defensor,0.4,
indefeso,-1.4,
indefesamente,-1.1,
indefeso,-1.3,
defensavel,0.8,
de forma defensivo,0.1,TERM
defensivo,0.1,
defensivamente,-0.6,
defensivo,-0.3,
adiar,-1.2,
desafiante,-0.9,
deficit,-1.7,
definir,1.1,
definitivamente,1.7,
degradavel,-1.0,
degradacao,-2.4,
degradacoes,-1.5,
degradativo,-2.0,
degradar,-1.8,
degradador,-2.0,
degradador,-2.0,
degradar se,-2.1,
degradante,-2.8,
degradantemente,-2.7,
desumanizar,-1.8,
desumanizar,-1.9,
desumanizar,-1.5,
desumanizante,-2.4,
dejectar,-2.2,
abater,-2.2,
rejeitar,-2.3,
dejeto,-2.0,
demorar,-1.3,
atrasar,-0.9,
delicioso,2.9,
delicioso,1.4,
discretamente,2.8,
delicado,0.2,
delicadamente,1.0,
delicar,0.6,
delicatessen,0.4,
delicatessem,0.4,
delicioso,2.7,
deliciosamente,1.9,
deliciar,1.8,
deleite,2.9,
deleitar,2.3,
felizmente,2.4,
deligh,2.0,
delighter,2.6,
prazer,2.1,
deliciar,1.6,
delicia,2.0,
exigir,-0.5,
exigir,-0.9,
exigente,-0.9,
demonstracao,0.4,
desmoralizar,-1.6,
negar,-1.9,
denier,-1.5,
negador,-1.1,
negar,-1.8,
denunciar,-1.4,
denunciar,-1.9,
negar,-1.4,
negar,-1.4,
deprimir,-2.2,
depressor,-1.6,
depressivo,-1.6,
depressivo,-2.3,
deprimer,-2.2,
deprimivel,-1.7,
deprimente,-1.6,
depressivamente,-2.3,
depressao,-2.7,
depressoes,-2.2,
depressor,-1.7,
despressurizacao,-0.3,
despressurizacoes,-0.4,
despressurizar,-0.5,
despressurizar,-0.3,
despressuriza,-0.3,
despressurizar,-0.7,
privacao,-2.1,
privacoes,-1.2,
privar,-2.1,
privado,-2.1,
privador,-1.6,
privar,-1.7,
privar,-2.0,
descarrilhar,-1.2,
descarrilar,-1.4,
descarrilar,-1.3,
ridicularizar,-1.1,
ridicularizar,-0.8,
ridicularizar,-1.0,
ridicularizar,-1.5,
escarnio,-1.2,
desejavel,1.3,
desejo,1.7,
desejado,1.1,
desejoso,1.3,
desespero,-1.3,
desesperar,-2.7,
desesperador,-1.3,
desesperador,-1.3,
desesperar,-2.3,
desesperadamente,-2.2,
desesperar,-2.7,
desespero,-2.2,
desprezar,-1.4,
desprezar,-1.7,
desprezador,-1.8,
desprezador,-1.6,
desprezar,-2.7,
desanimar,-2.1,
quebrar,-2.5,
destruir,-2.5,
destruer,-2.2,
destruidor,-2.0,
destruidor,-2.3,
destruir,-2.6,
destroi,-2.6,
destruer,-2.4,
destructibilidade,-1.8,
destrutivel,-1.5,
destruicaar,-2.7,
destristador,-2.6,
destructor,-2.1,
destrutivo,-3.0,
destrutivamente,-2.4,
destrutividade,-2.4,
destacar,-0.5,
deter,-1.8,
deter,-1.7,
detencao,-1.5,
determinavel,0.9,
determinabilidade,0.2,
determinably,0.9,
determinacao,1.0,
determinante,0.2,
determinar,0.8,
determinadamente,1.2,
determinacoes,0.8,
determinante,0.9,
determinador,1.1,
devastar,-3.1,
devastar,-3.0,
devastar,-2.8,
devastador,-3.3,
devastadoramente,-2.4,
devastacao,-1.8,
devastacoes,-1.9,
devastativo,-3.2,
devastador,-2.9,
diabo,-3.4,
deviled,-1.6,
devil,-2.2,
diabolico,-2.1,
devagar,-1.6,
devilishnessness,-2.3,
devilkin,-2.4,
devolver,-1.8,
devilment,-1.9,
devilments,-1.1,
devilrie,-1.6,
diabrura,-2.8,
demonio,-2.7,
