palavra,polaridade,tipo
amoretti,0.2,TBD
amorteto,0.6,TBD
amorettos,0.3,TBD
amorino,1.2,TBD
amorista,1.6,TBD
amoristico,1.0,TBD
amoristas,0.1,TBD
amoroso,2.9,TBD
amorosamente,3.2,TBD
amorosa,2.0,TBD
amorfo,0.3,TBD
sem forma,0.1,TBD
amortizado,0.8,TBD
amortizar,-0.1,TBD
amortiza,0.6,TBD
amortizavel,0.5,TBD
amortizacao,0.6,TBD
amortizacoes,0.2,TBD
amortizando,0.8,TBD
divertivel,1.8,TBD
divertir,1.7,TBD
divertido,1.9,TBD
divertidamente,0.8,TBD
diversao,1.6,TBD
divertimentos,1.5,TBD
divertidor,1.1,TBD
divertidores,1.3,TBD
diverte,1.7,TBD
amusia,0.3,TBD
amusias,-0.4,TBD
divertida,1.7,TBD
raiva,-3.6,TBD
irritando,-2.2,TBD
angustia,-2.4,TBD
muito irritado,-2.3,TBD
mais angustiado,-3.1,TBD
com raiva,2.3,TBD
antifriccao,-1.7,TBD
bravo,-2.1,TBD
angustiado,-1.8,TBD
angustias,-1.6,TBD
antipatia,-1.9,TBD
incomodar,-1.4,TBD
aborrecimento,-1.7,TBD
aborrecimentos,-1.8,TBD
enjoado,-2.5,TBD
irritantes,-2.1,TBD
irritante,-2.0,TBD
irrita,-1.7,TBD
antagonismo,-1.9,TBD
antagonismos,-1.2,TBD
antagonista,-1.9,TBD
antagonico,-1.7,TBD
de forma antagonica,-2.2,TBD
antagonistas,-1.7,TBD
antagonizar,-2.0,TBD
antagonizou,-1.4,TBD
antagoniza,-0.5,TBD
antagonizando,-2.7,TBD
anti,-1.3,TBD
antecipacao,0.4,TBD
ansiedades,-0.6,TBD
ansiedade,-1.0,TBD
ansioso,1.5,TBD
ansiosamente,0.7,TBD
tudo bem,2.1,TBD
apatico,-1.2,TBD
de forma apatica,-0.4,TBD
apatias,-0.6,TBD
apatia,-1.2,TBD
descontrolado,-1.0,TBD
apocaliptico,-3.4,TBD
pedir desculpas,0.4,TBD
pediu desculpa,1.3,TBD
pede desculpas,1.5,TBD
pedindo desculpas,-0.3,TBD
desculpa,-0.3,TBD
vale a pena,1.4,TBD
chocado,-1.3,TBD
terrivel,-2.1,TBD
terrivelmente,1.7,TBD
questiona,-1.9,TBD
apaziguar,0.9,TBD
apaziguado,0.9,TBD
apaziguamento,1.0,TBD
aplaudir,2.0,TBD
aplaudiu,2.3,TBD
aplaudindo,2.1,TBD
aplaude,1.4,TBD
aplausos,1.8,TBD
apreciar,2.2,TBD
estimado,1.9,TBD
aprecia,2.2,TBD
apreciando,2.0,TBD
apreciacao,1.6,TBD
apreciacoes,1.7,TBD
apreciativo,2.6,TBD
apreciativamente,1.8,TBD
apreciador,1.7,TBD
apreciadores,2.2,TBD
apreensivel,1.1,TBD
apreensivamente,-0.3,TBD
apreensao,-0.7,TBD
apreensoes,-0.9,TBD
aprovacao,2.1,TBD
aprovado,1.0,TBD
aprova,1.7,TBD
ardente,2.1,TBD
discutivel,-1.0,TBD
indiscutivelmente,-1.0,TBD
argumentar,-1.4,TBD
argumentou,-1.5,TBD
argumentador,-1.6,TBD
argumentadores,-1.4,TBD
argumenta,-1.6,TBD
argumentando,-2.0,TBD
argumento,-1.5,TBD
argumentativo,-1.5,TBD
argumentativamente,-1.8,TBD
argumentive,-1.5,TBD
argumentos,-1.7,TBD
prender,-1.4,TBD
preso,-2.4,TBD
prisoes,-1.9,TBD
arrogancia,-2.4,TBD
arrogancias,-1.9,TBD
arrogante,-2.2,TBD
arrogantemente,-1.8,TBD
envergonhado,-2.3,TBD
com vergonha,-1.9,TBD
bunda,-2.5,TBD
assassinato,-2.9,TBD
assassinatos,-3.0,TBD
assalto,-2.3,TBD
assaltado,-2.4,TBD
assaltavel,-2.8,TBD
assaltos,-0.4,TBD
de ativos,1.5,TBD
vacilao,-2.5,TBD
babacas,-2.8,TBD
garantia,1.0,TBD
garantias,1.4,TBD
assegurar,1.4,TBD
garantido,1.5,TBD
com certeza,1.6,TBD
seguranca,2.0,TBD
segurador,1.5,TBD
assessor,1.1,TBD
assegura,1.3,TBD
assassino,-3.2,TBD
assegurando,1.6,TBD
atonito,1.6,TBD
surpreendido,1.8,TBD
surpreendentes,0.3,TBD
anexo,1.2,TBD
anexos,1.1,TBD
ataque,-2.1,TBD
atacado,-2.0,TBD
atacante,-2.0,TBD
atacantes,-2.7,TBD
ataques,-1.9,TBD
atrai,1.7,TBD
atracao,2.0,TBD
atraente,-0.7,TBD
atraentes,1.4,TBD
atraido,1.8,TBD
atraindo,2.1,TBD
atracoes,1.8,TBD
atrativamente,2.2,TBD
atratividade,1.8,TBD
atrativos,2.1,TBD
atrator,1.2,TBD
atrapalhadores,1.2,TBD
audacioso,0.9,TBD
autoridade,0.3,TBD
aversao,-1.9,TBD
aversoes,-1.1,TBD
aversivo,-1.6,TBD
aversivamente,-0.8,TBD
evitar,-1.2,TBD
evitado,-0.3,TBD
evita,0.3,TBD
avido,-1.3,TBD
evasao,-1.7,TBD
evasoes,-1.1,TBD
evitou,-1.4,TBD
evasor,-1.8,TBD
evasores,-1.4,TBD
evitando,-0.4,TBD
aguardam,0.4,TBD
esperado,-0.1,TBD
aguarda,0.3,TBD
premio,2.3,TBD
atribuivel,2.4,TBD
premiado,3.0,TBD
premiados,1.3,TBD
atribuindo,1.9,TBD
premios,2.0,TBD
impressionante,1.6,TBD
horrivel,-2.7,TBD
embaracoso,-1.6,TBD
estranhamente,-1.2,TBD
constrangimento,-0.7,TBD
machado,-0.4,TBD
exagerado,-0.4,TBD
apoiado,1.3,TBD
apoio,1.5,TBD
costas,-0.2,TBD
mau,-0.9,TBD
fodao,-0.6,TBD
seriamente,-2.1,TBD
resgate,-0.4,TBD
enganar,-1.1,TBD
bamboozled,-1.5,TBD
bamboozles,-1.5,TBD
banimento,-2.6,TBD
banir,-1.9,TBD
falido,-2.6,TBD
banco,-2.1,TBD
banido,-2.0,TBD
barganha,0.8,TBD
barreira,-0.5,TBD
timido,-1.0,TBD
tonturas,-1.6,TBD
desgracado,-2.5,TBD
bastardos,-3.0,TBD
bastardisse,-2.1,TBD
bastardizado,-2.0,TBD
bastardises,-2.3,TBD
bastardising,-2.6,TBD
bastardizacao,-2.4,TBD
bastardizacoes,-2.1,TBD
degradar,-1.9,TBD
bastardizes,-1.8,TBD
bastardizando,-2.3,TBD
bastardly,-2.7,TBD
bastardy,-2.7,TBD
batalha,-0.4,TBD
lutou,-1.4,TBD
campo de batalha,-1.7,TBD
campos de batalha,-0.6,TBD
frente de batalha,-1.2,TBD
frentes de batalha,-0.8,TBD
ameias,-0.4,TBD
batalhadora,-0.8,TBD
lutadores,-1.4,TBD
batalhas,-1.6,TBD
navio de guerra,-0.7,TBD
navios de guerra,-0.5,TBD
caminho de guerra,-0.3,TBD
vagoes de batalha,-0.5,TBD
lutando,-1.8,TBD
espancado,-1.8,TBD
beatifico,1.8,TBD
espancamento,-2.0,TBD
belo,1.6,TBD
belos,1.7,TBD
belamente,2.6,TBD
beleza,2.1,TBD
esteticista,1.2,TBD
esteticistas,0.4,TBD
belezas,2.4,TBD
embelezamento,1.9,TBD
embelezamentos,2.4,TBD
embelezado,2.1,TBD
embelezador,1.7,TBD
embelezadores,1.7,TBD
embeleza,1.8,TBD
bonita,2.2,TBD
mais lindo,2.3,TBD
mais bonita,2.1,TBD
belas,2.7,TBD
embelezar,2.3,TBD
embelezando,2.3,TBD
menosprezo,-1.9,TBD
menosprezado,-2.0,TBD
amado,2.9,TBD
benefico,1.7,TBD
beneficio eclesiastico,0.4,TBD
beneficiado,1.0,TBD
beneficencia,2.8,TBD
beneficencias,1.5,TBD
beneficente,2.3,TBD
beneficamente,2.4,TBD
beneficios,1.6,TBD
beneficiarios,1.8,TBD
beneficiario,2.1,TBD
beneficiamento,0.4,TBD
beneficiar,2.0,TBD
beneficiou,1.7,TBD
beneficiando,1.9,TBD
benevolencia,1.2,TBD
benevolencias,1.9,TBD
benevolente,2.7,TBD
benevolentemente,1.4,TBD
benigno,2.2,TBD
benignidade,1.3,TBD
benignamente,0.2,TBD
benignidades,0.9,TBD
despojado,-2.1,TBD
enlutado,-2.1,TBD
despojados,-1.9,TBD
despojadamente,-1.3,TBD
melhor,1.9,TBD
trair,-3.2,TBD
traicao,-1.9,TBD
traiu,-3.0,TBD
traindo,-2.6,TBD
traicoeiro,-2.5,TBD
vies,-0.4,TBD
tendencioso,-1.1,TBD
cadela,-2.8,TBD
morrendo,-2.6,TBD
brigas,-0.2,TBD
baixaria,-2.7,TBD
cadelas,-2.9,TBD
mais bravo,-2.0,TBD
mais brando,-3.0,TBD
babacamente,-2.6,TBD
bitchiness,-2.6,TBD
bitching,-1.1,TBD
maluca,-2.3,TBD
amargo,-0.2,TBD
bitterbrush,-0.2,TBD
bitterbrushes,-0.6,TBD
amargurado,-0.4,TBD
mais amargo,-2.3,TBD
amargando,-1.2,TBD
amargamente,-2.0,TBD
amargura,-1.7,TBD
bitterns,-0.4,TBD
amargas,-0.4,TBD
agridoce,-0.6,TBD
bittersweets,-0.2,TBD
amendoim,-0.5,TBD
bizarro,-1.3,TBD
bla,-0.4,TBD
blam,-0.2,TBD
culpado,-1.8,TBD
acusavel,-1.8,TBD
culpa,-1.8,TBD
sem culpa,0.7,TBD
irrepreensivel,2.0,TBD
acusador,-2.1,TBD
acusadores,-2.0,TBD
culpando,-2.2,TBD
abencoe,1.8,TBD
abencoado,2.8,TBD
abencoadamente,1.7,TBD
bem-aventuranca,1.6,TBD
bencao,2.2,TBD
bencaos,2.5,TBD
abencoa,2.6,TBD
cego,-1.7,TBD
felicidade,2.3,TBD
feliz,3.1,TBD
alegre,2.5,TBD
quadra,-1.9,TBD
blockbuster,2.9,TBD
bloqueado,-1.1,TBD
bloqueando,-1.6,TBD
blocos,-0.9,TBD
sangrento,-1.9,TBD
embacado,-0.4,TBD
ousado,1.6,TBD
muito ousado,1.2,TBD
mais ousado,1.6,TBD
audaz,0.3,TBD
destemido,1.9,TBD
valente,0.1,TBD
ousadamente,0.1,TBD
corajosamente,2.3,TBD
ousadia,1.4,TBD
coragem,2.1,TBD
ousadias,1.3,TBD
bomba,-2.2,TBD
bonus,2.5,TBD
gratificacoes,1.8,TBD
impulso,1.7,TBD
impulsionado,1.5,TBD
aumentando,1.4,TBD
impulsiona,1.3,TBD
chato,-1.1,TBD
boreal,-0.3,TBD
repolho,-0.2,TBD
repolhos,-0.3,TBD
entediado,-1.1,TBD
tedio,-1.2,TBD
tedios,-1.1,TBD
muito entediado,0.1,TBD
muito entediados,0.2,TBD
furos,-1.3,TBD
broca,-0.4,TBD
perfuradores,-1.2,TBD
borescopes,-0.1,TBD
amolamento,-1.3,TBD
incomodado,-1.6,TBD
incomodando,-1.6,TBD
incomoda,-0.8,TBD
incomodo,-1.3,TBD
boicote,-1.3,TBD
boicotado,-1.7,TBD
boicotar,-1.7,TBD
boicotes,-1.4,TBD
lavagem cerebral,-1.5,TBD
bravamente,2.3,TBD
mais forte,1.9,TBD
braveries,2.0,TBD
bravura,2.2,TBD
braves,1.9,TBD
mais valente,2.3,TBD
tirar o folego,2.0,TBD
suborno,-0.8,TBD
brilhante,2.8,TBD
iluminar,1.9,TBD
branqueador,1.0,TBD
abrilhantadores,1.0,TBD
brilhar,1.8,TBD
ilumina,1.7,TBD
mais brilhante,3.0,TBD
brilhantemente,3.0,TBD
brilho,2.6,TBD
brights,0.4,TBD
brilhos,2.9,TBD
brilhantes,1.9,TBD
brilhantina,0.8,TBD
rapido,0.8,TBD
quebrou,-1.8,TBD
partido,-2.1,TBD
ninhada,0.1,TBD
brutal,-3.1,TBD
brutalizar,-2.9,TBD
brutalizado,-2.4,TBD
brutaliza,-3.2,TBD
brutalizando,-3.4,TBD
brutalidades,-2.6,TBD
brutalidade,-3.0,TBD
brutalizacao,-2.1,TBD
brutalizacoes,-2.3,TBD
brutalmente,-3.0,TBD
intimidado,-1.9,TBD
besteira,-2.8,TBD
valentao,-2.2,TBD
assedio moral,-2.9,TBD
vadio,-1.6,TBD
flutuante,0.9,TBD
peso,-1.9,TBD
sobrecarregado,0.2,TBD
encarregado,-1.3,TBD
engenheiros,-2.0,TBD
sobrecarregando,-1.4,TBD
encargos,-1.5,TBD
pesado,-1.8,TBD
bwahaha,0.4,TBD
bwahahah,2.5,TBD
calma,1.3,TBD
calmante,1.3,TBD
calmantes,0.5,TBD
acalmado,1.6,TBD
mais calmo,2.2,TBD
acalmando,1.7,TBD
calmamente,1.3,TBD
calmodulina,0.2,TBD
nao suporto,-2.0,TBD
cancelar,-1.0,TBD
cancelado,-1.0,TBD
cancelando,-0.8,TBD
cancela,-0.9,TBD
cancer,-3.4,TBD
capaz,1.6,TBD
cativado,1.6,TBD
cuidado,2.0,TBD
cuidei,1.8,TBD
despreocupado,-0.9,TBD
cuidadosamente,0.5,TBD
descuidado,-1.5,TBD
descuidadamente,-1.0,TBD
descuido,-1.6,TBD
se preocupa,2.0,TBD
cuidando,2.2,TBD
casual,0.8,TBD
casualmente,0.7,TBD
catastrofe,-3.4,TBD
catastrofico,-2.2,TBD
cauteloso,-0.4,TBD
comemoro,2.7,TBD
celebre,2.7,TBD
comemora,2.7,TBD
a comemorar,2.7,TBD
censurar,-2.0,TBD
censurado,-0.6,TBD
censores,-1.2,TBD
certo,1.1,TBD
certissimo,1.1,TBD
certamente,1.9,TBD
certezas,0.9,TBD
certeza,1.0,TBD
desgosto,-2.7,TBD
desafio,0.3,TBD
desafiado,-0.4,TBD
desafiador,0.6,TBD
desafiadores,0.4,TBD
desafios,0.3,TBD
desafiadoramente,-0.6,TBD
campeao,1.0,TBD
champac,-0.2,TBD
champanhe,1.2,TBD
champanhes,0.5,TBD
champaign,0.2,TBD
champanhas,-0.2,TBD
sem paciencia,1.0,TBD
impaciente,-1.2,TBD
campeoes,1.8,TBD
canhotos,-0.1,TBD
cheirosa,0.3,TBD
champerty,-0.2,TBD
cogumelo,0.4,TBD
cogumelos,0.2,TBD
champing,0.7,TBD
defendido,1.2,TBD
defendendo,1.8,TBD
campeonato,1.9,TBD
campeonatos,2.2,TBD
chance,1.0,TBD
chances,0.8,TBD
caos,-2.7,TBD
caotico,-2.2,TBD
carregada,-0.8,TBD
cobrancas,-1.1,TBD
caridosa,1.7,TBD
caridade,1.8,TBD
caridades,1.6,TBD
instituicoes de caridade,2.2,TBD
charme,1.7,TBD
encantado,2.0,TBD
encantador,2.8,TBD
encantadores,2.1,TBD
charmoso,0.3,TBD
charmosos,0.4,TBD
mais charmoso,2.4,TBD
encantadora,2.2,TBD
sem charme,-1.8,TBD
encantos,1.9,TBD
castigar,-1.7,TBD
castigado,-2.2,TBD
castigos,-1.7,TBD
enganacao,-2.0,TBD
enganado,-0.6,TBD
trapaceiro,-2.5,TBD
traidores,-1.9,TBD
truques,-1.0,TBD
torcer,2.3,TBD
comemorador,1.7,TBD
comemoradores,1.8,TBD
cheio de alegria,2.4,TBD
mais alegre,2.7,TBD
alegremente,2.4,TBD
alegria,2.8,TBD
torcendo,2.3,TBD
brinde,1.2,TBD
lider de torcida,0.9,TBD
lideres de torcida,1.2,TBD
cheerleading,1.2,TBD
cheerleads,1.2,TBD
triste,-2.2,TBD
sem graca,-0.8,TBD
magoa,-2.4,TBD
felicidades,2.3,TBD
querido,2.0,TBD
apreciado,2.3,TBD
estimador,2.2,TBD
estimadores,1.9,TBD
chique,1.1,TBD
infantil,-1.2,TBD
descontraido,0.5,TBD
sufocar,-1.8,TBD
sufocado,-1.4,TBD
asfixiado,-2.0,TBD
sufocando,-1.4,TBD
gargalhada,-0.4,TBD
riu,2.0,TBD
chucklehead,-1.9,TBD
chuckleheaded,-1.3,TBD
chuckleheads,-1.1,TBD
chuckler,0.8,TBD
chucklers,1.2,TBD
rir,1.7,TBD
chucklesome,1.1,TBD
sorrindo,2.3,TBD
esclarece,0.9,TBD
clareza,1.7,TBD
elegante,2.1,TBD
limpo,0.4,TBD
limpador,0.7,TBD
claro,1.6,TBD
claramente,1.7,TBD
limpa,0.3,TBD
esperto,2.0,TBD
mais inteligente,0.9,TBD
inteligente,1.7,TBD
inteligentemente,2.0,TBD
inteligencia,2.1,TBD
inteligentes,1.6,TBD
nublado,-0.2,TBD
sem nocao,-1.5,TBD
galo,-0.6,TBD
cocksucker,-3.1,TBD
cocksuckers,-2.6,TBD
pretensioso,-0.5,TBD
coagido,-1.5,TBD
colapso,-2.2,TBD
desabou,-1.1,TBD
colapsa,-1.2,TBD
colapsando,-1.2,TBD
colidir,-0.3,TBD
colide,-1.1,TBD
colidindo,-0.5,TBD
colisao,-1.5,TBD
colisoes,-1.1,TBD
conluio,-1.2,TBD
combate,-1.5,TBD
combates,0.3,TBD
comediante,0.6,TBD
comediantes,1.2,TBD
comedic,1.7,TBD
comedicamente,2.1,TBD
comediennes,1.6,TBD
comedias,1.7,TBD
venha fazer,0.3,TBD
comedoes,-0.8,TBD
desca,-0.8,TBD
comedowns,-0.9,TBD
comedia,1.5,TBD
conforto,1.5,TBD
confortavel,2.3,TBD
comfortableness,1.3,TBD
confortavelmente,1.8,TBD
consolado,1.8,TBD
edredador,1.9,TBD
edredons,1.2,TBD
reconfortante,1.7,TBD
com conforto,1.7,TBD
sem conforto,-1.8,TBD
recomendar,1.9,TBD
elogiado,2.2,TBD
cometer,1.2,TBD
comprometimento,1.6,TBD
compromissos,0.6,TBD
compromete-se,0.1,TBD
comprometido,1.1,TBD
cometendo,0.3,TBD
compaixao,0.9,TBD
compassivo,1.6,TBD
com compaixao,-1.0,TBD
compaixoes,1.6,TBD
sem compaixao,-2.6,TBD
obrigado,1.9,TBD
competente,1.3,TBD
competitivo,0.7,TBD
complacente,-0.3,TBD
reclamar,-1.5,TBD
queixoso,-0.8,TBD
reclamantes,-1.1,TBD
queixou-se,-1.7,TBD
queixa,-2.1,TBD
queixosos,-1.3,TBD
reclamando,-0.8,TBD
queixando-se,-1.7,TBD
reclama,-1.6,TBD
reclamacoes,-1.7,TBD
elogio,2.4,TBD
complementarmente,1.7,TBD
cortesia,1.5,TBD
elogiando,2.3,TBD
elogios,2.4,TBD
compreensivo,1.0,TBD
conciliar,1.0,TBD
conciliado,1.1,TBD
conciliadores,1.1,TBD
conciliando,1.3,TBD
condenar,-1.6,TBD
condenacao,-2.6,TBD
condenado,1.8,TBD
condena,-2.3,TBD
confianca,1.6,TBD
confiante,1.7,TBD
com confianca,1.6,TBD
conflito,-1.3,TBD
conflitante,-1.7,TBD
conflituoso,-1.8,TBD
conflitos,-1.6,TBD
enfrentar,-0.7,TBD
confronto,-1.3,TBD
confrontativo,-1.0,TBD
confrontacionistas,-1.2,TBD
confrontos,-1.5,TBD
confrontado,-0.8,TBD
enfrentando,-0.6,TBD
confronta-se,-0.9,TBD
confundir,-0.9,TBD
confuso,-0.9,TBD
confusamente,-1.4,TBD
confunde,-1.3,TBD
confusao,-1.2,TBD
confusional,-1.2,TBD
confusoes,-0.8,TBD
parabens,2.9,TBD
felicitar,2.2,TBD
consentimento,0.9,TBD
consente,1.0,TBD
atencioso,1.9,TBD
consolavel,1.1,TBD
conspiracao,-2.4,TBD
constrangido,-0.4,TBD
contagio,-2.0,TBD
contagios,-1.5,TBD
contagioso,-1.4,TBD
desprezo,-1.8,TBD
destemidas,-2.0,TBD
despreocupacao,-0.9,TBD
desprezivel,-3.2,TBD
despreocupadamente,-1.4,TBD
desdenhoso,-1.8,TBD
desdenhosamente,-2.4,TBD
contender,0.2,TBD
contendor,0.5,TBD
contente,1.4,TBD
satisfeito,1.8,TBD
contenciosa,-1.2,TBD
contentamento,1.5,TBD
contestavel,0.6,TBD
contraditorio,-1.4,TBD
contradizido,-1.3,TBD
contradizendo,-1.3,TBD
contradicao,-1.4,TBD
contradicoes,-1.3,TBD
contraditorios,-1.6,TBD
contradiz,-1.4,TBD
controverso,-0.8,TBD
controversamente,-1.1,TBD
convencer,1.0,TBD
convencido,1.7,TBD
convincente,1.7,TBD
convincers,0.3,TBD
convence,0.7,TBD
de forma convincente,1.6,TBD
convincencia,0.7,TBD
convivial,1.2,TBD
legal,0.5,TBD
encurralado,-1.1,TBD
cadaver,-2.7,TBD
dispendioso,-0.4,TBD
corajoso,2.4,TBD
cortes,-1.2,TBD
cobrir,-1.2,TBD
covarde,-1.4,TBD
covardemente,-1.6,TBD
caibra,-0.8,TBD
porcaria,-1.6,TBD
ruim,-2.6,TBD
batida,-1.6,TBD
mania,0.9,TBD
louco,-2.2,TBD
mais louco,-2.8,TBD
loucamente,-1.7,TBD
loucura,-1.9,TBD
fervendo,-0.5,TBD
maluco,0.8,TBD
crio,1.1,TBD
criada,1.0,TBD
cria,1.1,TBD
creatin,0.1,TBD
creatina,0.2,TBD
criando,1.2,TBD
creatinina,0.4,TBD
criacao,1.1,TBD
criacionismo,1.1,TBD
criacionista,0.8,TBD
criacionistas,0.5,TBD
criacoes,1.6,TBD
criativo,1.9,TBD
criativamente,1.5,TBD
criatividade,1.6,TBD
credito,1.6,TBD
credenciais,1.4,TBD
credibilidade,1.9,TBD
credivel,1.8,TBD
com credibilidade,1.7,TBD
creditado,1.5,TBD
creditando,0.6,TBD
credor,-0.1,TBD
creditos,1.5,TBD
solvente,2.4,TBD
caiu,-2.5,TBD
chorou,-2.0,TBD
chora,-1.4,TBD
crime,-2.5,TBD
criminoso,-2.4,TBD
psicopata,-2.4,TBD
genocida,-2.4,TBD
criminosos,-2.7,TBD
crise,-3.1,TBD
critico,-1.5,TBD
criticar,-1.6,TBD
criticado,-1.4,TBD
critica,-1.4,TBD
criticando,-1.5,TBD
criticas,-0.9,TBD
criticavel,-1.0,TBD
criticantes,-1.6,TBD
criticos,-1.2,TBD
bruto,-2.1,TBD
grosseiramente,-2.2,TBD
crueza,-2.0,TBD
crudeza,-2.0,TBD
mais grosseiro,-2.1,TBD
em bruto,-1.1,TBD
mais grosso,-2.4,TBD
cruel,-2.8,TBD
mais cruel,-2.9,TBD
cruelmente,-2.8,TBD
crueldade,-2.9,TBD
crueldades,-2.3,TBD
a paixao subita,-0.6,TBD
esmagado,-1.8,TBD
esmaga,-1.9,TBD
esmagamento,-1.5,TBD
chorar,-2.7,TBD
chorando,-0.9,TBD
boceta,-2.2,TBD
